名前,かな,緯度,経度,標高
知床岳,しれとこだけ,44.23583333333333,145.2738888888889,1254
硫黄山,いおうざん,44.13333333333333,145.1613888888889,1562
知円別岳,ちえんべつだけ,44.124722222222225,145.1686111111111,1544
サシルイ岳,さしるいだけ,44.09527777777778,145.1436111111111,1564
羅臼岳,らうすだけ,44.075833333333335,145.12222222222223,1661
遠音別岳,おんねべつだけ,43.99333333333333,145.01333333333332,1330
海別岳,うなべつだけ,43.87694444444445,144.87666666666667,1419
斜里岳,しゃりだけ,43.76555555555556,144.71777777777777,1547
標津岳,しべつだけ,43.668055555555554,144.70499999999998,1061
藻琴山,もことやま,43.70444444444445,144.3311111111111,1000
アトサヌプリ,あとさぬぷり,43.61027777777778,144.43861111111113,508
カムイヌプリ,かむいぬぷり,43.57222222222222,144.56083333333333,857
雄阿寒岳,おあかんだけ,43.45416666666667,144.16472222222222,1370
雌阿寒岳,めあかんだけ,43.38638888888889,144.00861111111112,1499
雌阿寒岳<阿寒富士>,めあかんだけ<あかんふじ>,43.37416666666667,144.0063888888889,1476
ウコタキヌプリ,うこたきぬぷり,43.208333333333336,143.79749999999999,747
礼文岳,れぶんだけ,45.3725,141.01583333333335,490
利尻山,りしりざん,45.17861111111111,141.24194444444444,1721
幌尻山,ぽろしりやま,45.16555555555556,142.00861111111112,427
パンケ山,ぱんけざん,44.856944444444444,142.1497222222222,632
ポロヌプリ山,ぽろぬぷりざん,44.961666666666666,142.42027777777776,841
敏音知岳,びんねしりだけ,44.893055555555556,142.23444444444442,703
函岳,はこだけ,44.66583333333333,142.41222222222223,1129
ピヤシリ山,ぴやしりやま,44.433611111111105,142.58416666666668,987
欝岳,うつだけ,44.291666666666664,143.0825,818
ウェンシリ岳,うぇんしりだけ,44.22888888888889,142.8763888888889,1142
渚滑岳,しょこつだけ,44.040277777777774,142.9175,1345
天塩岳,てしおだけ,43.964444444444446,142.88805555555555,1558
チトカニウシ山,ちとかにうしやま,43.906666666666666,143.04861111111111,1446
仁頃山,にころやま,43.87833333333333,143.71833333333333,829
ニセイカウシュッペ山,にせいかうしゅっぺやま,43.78,142.98527777777775,1883
武利岳,むりいだけ,43.73305555555556,143.17638888888888,1876
武華山,むかやま,43.70583333333334,143.16055555555556,1759
北見富士,きたみふじ,43.69361111111111,143.29583333333332,1291
大雪山<旭岳>,たいせつざん<あさひだけ>,43.66361111111111,142.85416666666666,2291
大雪山<黒岳>,たいせつざん<くろだけ>,43.6975,142.92027777777776,1984
大雪山<北鎮岳>,たいせつざん<ほくちんだけ>,43.69277777777778,142.87972222222223,2244
大雪山<愛別岳>,たいせつざん<あいべつだけ>,43.70777777777778,142.85722222222222,2113
大雪山<白雲岳>,たいせつざん<はくうんだけ>,43.66111111111111,142.90583333333333,2230
忠別岳,ちゅうべつだけ,43.59111111111111,142.89444444444445,1963
トムラウシ山,とむらうしやま,43.52722222222222,142.8488888888889,2141
オプタテシケ山,おぷたてしけやま,43.47027777777778,142.75166666666667,2013
美瑛岳,びえいだけ,43.44,142.70666666666665,2052
十勝岳,とかちだけ,43.41777777777777,142.6863888888889,2077
上ホロカメットク山,かみほろかめっとくやま,43.405,142.67166666666665,1920
富良野岳,ふらのだけ,43.39361111111111,142.635,1912
三国山,みくにやま,43.59527777777778,143.14638888888888,1541
石狩岳,いしかりだけ,43.54666666666667,143.02222222222224,1967
音更山,おとふけやま,43.56166666666666,143.03527777777776,1932
ニペソツ山,にぺそつやま,43.45583333333334,143.03222222222223,2013
ウペペサンケ山,うぺぺさんけやま,43.38944444444444,143.08194444444445,1848
東ヌプカウシヌプリ,ひがしぬぷかうしぬぷり,43.24583333333334,143.10222222222222,1252
佐幌岳,さほろだけ,43.17333333333333,142.78111111111113,1060
西クマネシリ岳,にしくまねしりだけ,43.51916666666666,143.23333333333332,1635
東三国山,ひがしみくにやま,43.50833333333333,143.4636111111111,1230
喜登牛山,きとうしやま,43.44777777777777,143.45638888888888,1312
ピッシリ山,ぴっしりざん,44.355555555555554,142.03194444444446,1032
三頭山,さんとうさん,44.09166666666667,142.08583333333334,1009
ポロシリ山,ぽろしりやま,43.962500000000006,141.8361111111111,730
暑寒別岳,しょかんべつだけ,43.715833333333336,141.52305555555557,1492
群別岳,くんべつだけ,43.68472222222222,141.48777777777775,1376
ピンネシリ,ぴんねしり,43.49194444444444,141.70666666666665,1100
イルムケップ山,いるむけっぷやま,43.62916666666667,142.11027777777778,864
富良野西岳,ふらのにしだけ,43.30916666666666,142.31166666666667,1331
芦別岳,あしべつだけ,43.23583333333333,142.2836111111111,1726
幾春別岳,いくしゅんべつだけ,43.22694444444445,142.15944444444446,1068
夕張岳,ゆうばりだけ,43.099722222222226,142.2511111111111,1668
ハッタオマナイ岳,はったおまないだけ,42.846944444444446,142.31305555555556,1021
トマム山,とまむさん,43.078611111111115,142.59611111111113,1239
芽室岳,めむろだけ,42.86888888888889,142.78527777777776,1754
剣山,つるぎやま,42.84861111111111,142.885,1205
チロロ岳,ちろろだけ,42.82555555555556,142.67527777777778,1880
ピパイロ岳,ぴぱいろだけ,42.77305555555555,142.7275,1916
戸蔦別岳,とったべつだけ,42.73861111111111,142.695,1959
幌尻岳,ぽろしりだけ,42.71944444444445,142.68277777777777,2052
エサオマントッタベツ岳,えさおまんとったべつだけ,42.689166666666665,142.7577777777778,1902
札内岳,さつないだけ,42.693888888888885,142.79666666666665,1895
十勝幌尻岳,とかちぽろしりだけ,42.69555555555555,142.85944444444445,1846
イドンナップ岳,いどんなっぷだけ,42.63027777777778,142.6486111111111,1752
カムイエクウチカウシ山,かむいえくうちかうしやま,42.625,142.76638888888888,1979
